ano;bairro_id;bairro;cnae_id;cnae_codigo;cnae_descricao;setor;empresas_ativas;empresas_abertas;empresas_fechadas;empregos_gerados;massa_salarial
2022;37;Alto Alegre;16;10.92-9/01;Fabricação de biscoitos e bolachas;Indústria;1;0;0;;0.0
2022;37;Alto Alegre;16;10.92-9/01;Fabricação de biscoitos e bolachas;Indústria;1;0;0;;0.0
2022;37;Alto Alegre;16;10.92-9/01;Fabricação de biscoitos e bolachas;Indústria;1;0;0;;0.0
2022;37;Alto Alegre;16;10.92-9/01;Fabricação de biscoitos e bolachas;Indústria;1;0;0;;0.0
2022;37;Alto Alegre;16;10.92-9/01;Fabricação de biscoitos e bolachas;Indústria;1;0;0;;0.0
2022;37;Alto Alegre;16;10.92-9/01;Fabricação de biscoitos e bolachas;Indústria;1;0;0;;0.0
2022;37;Alto Alegre;16;10.92-9/01;Fabricação de biscoitos e bolachas;Indústria;1;0;0;;0.0
2022;37;Alto Alegre;16;10.92-9/01;Fabricação de biscoitos e bolachas;Indústria;1;0;0;;0.0
2022;37;Alto Alegre;16;10.92-9/01;Fabricação de biscoitos e bolachas;Indústria;1;0;0;;0.0
2022;37;Alto Alegre;16;10.92-9/01;Fabricação de biscoitos e bolachas;Indústria;1;0;0;;0.0
2022;37;Alto Alegre;16;10.92-9/01;Fabricação de biscoitos e bolachas;Indústria;1;0;0;;0.0
2022;37;Alto Alegre;16;10.92-9/01;Fabricação de biscoitos e bolachas;Indústria;1;0;0;;0.0
2022;37;Alto Alegre;17;25.11-0/00;Fabricação de estruturas metálicas;Indústria;1;0;0;;0.0
2022;37;Alto Alegre;17;25.11-0/00;Fabricação de estruturas metálicas;Indústria;1;0;0;;0.0
2022;37;Alto Alegre;17;25.11-0/00;Fabricação de estruturas metálicas;Indústria;1;0;0;;0.0
2022;37;Alto Alegre;17;25.11-0/00;Fabricação de estruturas metálicas;Indústria;1;0;0;;0.0
2022;37;Alto Alegre;17;25.11-0/00;Fabricação de estruturas metálicas;Indústria;1;0;0;;0.0
2022;37;Alto Alegre;17;25.11-0/00;Fabricação de estruturas metálicas;Indústria;1;0;0;;0.0
2022;37;Alto Alegre;17;25.11-0/00;Fabricação de estruturas metálicas;Indústria;1;0;0;;0.0
2022;37;Alto Alegre;17;25.11-0/00;Fabricação de estruturas metálicas;Indústria;1;0;0;;0.0
2022;37;Alto Alegre;17;25.11-0/00;Fabricação de estruturas metálicas;Indústria;1;0;0;;0.0
2022;37;Alto Alegre;17;25.11-0/00;Fabricação de estruturas metálicas;Indústria;1;0;0;;0.0
2022;37;Alto Alegre;17;25.11-0/00;Fabricação de estruturas metálicas;Indústria;1;0;0;;0.0
2022;37;Alto Alegre;17;25.11-0/00;Fabricação de estruturas metálicas;Indústria;1;0;0;;0.0
2022;37;Alto Alegre;18;28.13-9/00;Fabricação de válvulas, registros e dispositivos;Indústria;1;0;0;;0.0
2022;37;Alto Alegre;18;28.13-9/00;Fabricação de válvulas, registros e dispositivos;Indústria;1;0;0;;0.0
2022;37;Alto Alegre;18;28.13-9/00;Fabricação de válvulas, registros e dispositivos;Indústria;1;0;0;;0.0
2022;37;Alto Alegre;18;28.13-9/00;Fabricação de válvulas, registros e dispositivos;Indústria;1;0;0;;0.0
2022;37;Alto Alegre;18;28.13-9/00;Fabricação de válvulas, registros e dispositivos;Indústria;1;0;0;;0.0
2022;37;Alto Alegre;18;28.13-9/00;Fabricação de válvulas, registros e dispositivos;Indústria;1;0;0;;0.0
2022;37;Alto Alegre;18;28.13-9/00;Fabricação de válvulas, registros e dispositivos;Indústria;1;0;0;;0.0
2022;37;Alto Alegre;18;28.13-9/00;Fabricação de válvulas, registros e dispositivos;Indústria;1;0;0;;0.0
2022;37;Alto Alegre;18;28.13-9/00;Fabricação de válvulas, registros e dispositivos;Indústria;1;0;0;;0.0
2022;37;Alto Alegre;18;28.13-9/00;Fabricação de válvulas, registros e dispositivos;Indústria;1;0;0;;0.0
2022;37;Alto Alegre;18;28.13-9/00;Fabricação de válvulas, registros e dispositivos;Indústria;1;0;0;;0.0
2022;37;Alto Alegre;18;28.13-9/00;Fabricação de válvulas, registros e dispositivos;Indústria;1;0;0;;0.0
2022;37;Alto Alegre;19;29.42-2/00;Fabricação de caminhões e ônibus;Indústria;1;1;0;8;25600.0
2022;37;Alto Alegre;19;29.42-2/00;Fabricação de caminhões e ônibus;Indústria;2;0;0;;0.0
2022;37;Alto Alegre;19;29.42-2/00;Fabricação de caminhões e ônibus;Indústria;2;0;0;;0.0
